rp_c,LP_stage,HP_stage,pressure,temp,enthalpy,fi,cpa,tci_hp,t_clp_ex
172.0,18,0,13.29192788876016,630.4576492077233,346.7270668821992,0.7884317662017546,1.0586056007849636,339.3686473811585,630.4576492077233
172.0,0,1,13.026089330984956,339.3686473811585,51.68504642965641,0.16562393625062297,1.007908884596986,339.3686473811585,630.4576492077233
172.0,0,2,14.93157202963919,353.5284896230381,65.96526200287552,0.20701400927216596,1.0091160982023757,339.3686473811585,630.4576492077233
172.0,0,3,17.115792592176636,368.2791381573144,80.86057495799233,0.24847906247872856,1.0105232358186167,339.3686473811585,630.4576492077233
172.0,0,4,19.619525357202964,383.64524382890295,96.40067900678305,0.29003049275616455,1.0121503810341062,339.3686473811585,630.4576492077233
172.0,0,5,22.489509216060124,399.6524860163741,112.61714459088293,0.3316809203134385,1.0140193254286407,339.3686473811585,630.4576492077233
172.0,0,6,25.779320119666696,416.32761554656605,129.5435869246525,0.3734443090939183,1.016153696959081,339.3686473811585,630.4576492077233
172.0,0,7,29.550371217423876,433.69849939977075,147.21585277677812,0.4153360988593191,1.018579096350599,339.3686473811585,630.4576492077233
172.0,0,8,33.8730592984639,451.79416728020215,165.67222820881668,0.4573733500961478,1.0213232417638862,339.3686473811585,630.4576492077233
172.0,0,9,38.82807893664348,470.6448601295741,184.95366974392783,0.49957490301151786,1.0244161219768417,339.3686473811585,630.4576492077233
172.0,0,10,44.50792887132535,490.28208066486235,205.1040617207827,0.5419615520146285,1.0278901582774236,339.3686473811585,630.4576492077233
172.0,0,11,51.018638744587896,510.73864602470763,226.17050289833062,0.5845562372234163,1.0317803752108257,339.3686473811585,630.4576492077233
172.0,0,12,58.48174842904697,532.0487426124414,248.2036257190489,0.6273842546943948,1.036124580256819,339.3686473811585,630.4576492077233
172.0,0,13,67.0365768957555,554.2479832273859,271.25795201382505,0.6704734872492374,1.0409635524296057,339.3686473811585,630.4576492077233
172.0,0,14,76.84282297668942,577.3734665799045,295.39228934304305,0.7138546579661074,1.0463412396901437,339.3686473811585,630.4576492077233
172.0,0,15,88.08354657203115,601.4638392896627,316.14134471707695,0.7387686547910743,1.051184676195516,339.3686473811585,630.4576492077233
172.0,0,16,100.96858595448552,626.559360470709,342.60224705700324,0.7818688779972794,1.0576149700622473,339.3686473811585,630.4576492077233
172.0,0,17,115.73847496378401,652.701969011308,370.3375550522976,0.8252354386591163,1.064215332957486,339.3686473811585,630.4576492077233
172.0,0,18,132.66893321632548,679.9353536609633,399.4121355622626,0.8688752205344203,1.0709822206502904,339.3686473811585,630.4576492077233
172.0,0,19,152.07601315176666,708.3050260417549,429.89412179187343,0.9127949355266248,1.0779107381571411,339.3686473811585,630.4576492077233
172.0,0,20,174.3220000000001,737.8583967060083,461.85502815619196,0.9570010645142083,1.0849944422351254,339.3686473811585,630.4576492077233
173.0,1,0,1.1694770413075828,300.9648280929676,13.02999290654222,0.04436372652858852,1.0053492767017,339.44862127814713,630.990808520981
173.0,2,0,1.3494588555950051,314.3604766746357,26.502339541731413,0.08828345187644622,1.0061228724979687,339.44862127814713,630.990808520981
173.0,3,0,1.557139763006969,328.3523524037103,40.58633525163875,0.13225777000097427,1.007067482292126,339.44862127814713,630.990808520981
173.0,4,0,1.7967826373396947,342.9669927642958,55.31237689117744,0.17629694663384204,1.008202290936976,339.44862127814713,630.990808520981
173.0,5,0,2.0733064061064246,358.23211639782176,70.71277934033219,0.22041245728490186,1.0095482709206305,339.44862127814713,630.990808520981
173.0,6,0,2.3923870168104577,374.17667567519396,86.82194820809902,0.26461711515288633,1.0111283302364467,339.44862127814713,630.990808520981
173.0,7,0,2.7605739418669644,390.83091160888057,103.67657267710354,0.30892521224435043,1.0129674707243648,339.44862127814713,630.990808520981
173.0,8,0,3.1854246135622972,408.2264112090809,121.31584105137449,0.353352675080806,1.0150929573791085,339.44862127814713,630.990808520981
173.0,9,0,3.6756595484728027,426.39616739276096,139.78168189146544,0.397917236522585,1.0175344991001387,339.44862127814713,630.990808520981
173.0,10,0,4.241341345438519,445.37464155918144,159.11903398038694,0.44263862540322013,1.020324441326581,339.44862127814713,630.990808520981
173.0,11,0,4.894081231217525,465.1978289506008,179.37614876437232,0.4875387758519868,1.0234979709552177,339.44862127814713,630.990808520981
173.0,12,0,5.647277393392445,485.9033269221189,200.60492935829123,0.5326420583868847,1.0270933338784332,339.44862127814713,630.990808520981
173.0,13,0,6.516389992568125,507.5304062501442,222.86131070069922,0.5779755350882331,1.0311520653984976,339.44862127814713,630.990808520981
173.0,14,0,7.519258498781363,530.1200856147312,246.2056859923438,0.6235692414169335,1.0357192336711616,339.44862127814713,630.990808520981
173.0,15,0,8.676467865793512,553.7152093970531,270.7033851588215,0.6694564975244376,1.0408436962009175,339.44862127814713,630.990808520981
173.0,16,0,10.011771059386792,578.3605289395629,296.4252117473615,0.7156742522170184,1.0465783692474917,339.44862127814713,630.990808520981
173.0,17,0,11.552576612511642,604.1027874229658,318.9162644514239,0.7433721722571797,1.0518651495287212,339.44862127814713,630.990808520981
173.0,18,0,13.330511214878433,630.990808520981,347.2915083483258,0.7893266763206687,1.058740913296345,339.44862127814713,630.990808520981
173.0,0,1,13.063900990580864,339.44862127814713,51.76565311023872,0.16586232556210437,1.0079153063891622,339.44862127814713,630.990808520981
173.0,0,2,14.977199538604266,353.6265034213536,66.06416976932265,0.20729493766965268,1.0091249455661793,339.44862127814713,630.990808520981
173.0,0,3,17.17071387642184,368.3965586637165,80.97923184366128,0.2488027563319598,1.0105350469267145,339.44862127814713,630.990808520981
